licence_number,expiry_date,services,subtype,name,secondary_name,location,address,street_address,city,postal_code,business_phone,business_fax
X028910,2025-07-11,['trading'],Brokerage,Maxwell Rockies Realty,0792254 B.C. Ltd.,Invermere,"1214 7 Avenue, Box 2280, Invermere",1214 7 Avenue, Box 2280,V0A 1K0,(250) 341-6044,(250) 341-6046
X029583,2024-02-05,['trading'],Branch Office,Maxwell Rockies Realty,0792254 B.C. Ltd.,Fairmont Hot Springs,"4 - 4992 Fairmont Frontage Road, Fairmont Hot Springs",4 - 4992 Fairmont Frontage Road, Fairmont Hot Springs,V0B 1L1,(250) 345-6080,(250) 345-6081
X035494,2024-07-23,['trading'],Branch Office,Maxwell Rockies Realty,0792254 B.C. Ltd.,Canal Flats,"4957 Burns Avenue, Canal Flats",4957 Burns Avenue, Canal Flats,V0B 0B0,(250) 341-6044,(250) 341-6046
X030748,2025-02-01,"['trading', 'rental']",Brokerage,Maxworth Realty Inc.,Maxworth Realty Inc.,Richmond,"4-9888 Keefer Avenue, Richmond",4-9888 Keefer Avenue, Richmond,V6Y 0B6,(604) 285-5727,(604) 285-5728
X033792,2025-05-14,"['trading', 'rental', 'strata']",Brokerage,Maxxam Realty Ltd.,Maxxam Realty Ltd.,Victoria,"114-967 Whirlaway Crescent, Victoria",114-967 Whirlaway Crescent, Victoria,V9B 0Y1,(250) 940-3133,(250) 590-8004
X029015,2024-06-17,"['trading', 'rental']",Brokerage,Mayfair Commercial R.E. Advisors Inc.,Mayfair Commercial R.E. Advisors Inc.,Richmond,"906 - 6081 No. 3 Road, Richmond",906 - 6081 No. 3 Road, Richmond,V6Y 2B2,(778) 297-7801,(778) 297-7802
X031757,2025-08-05,"['trading', 'rental', 'strata']",Brokerage,McArthurGlen Management Vancouver Limited,McArthurGlen Management Vancouver Limited,Richmond,"1000 - 7899 Templeton Station Road, Richmond",1000 - 7899 Templeton Station Road, Richmond,V7B 0B7,(604) 231-5520,
X035061,2025-05-28,['trading'],Brokerage,McCollom Real Estate,McCollom Real Estate Ltd.,Victoria,"300-1095 McKenzie Avenue, Victoria",300-1095 McKenzie Avenue, Victoria,V8P 2L5,(250) 588-8448,
X027808,2025-02-27,['rental'],Brokerage,McCOR Management,McCOR Management (BC) Inc.,Duncan,"3-202 2755 Beverly St, Duncan",3-202 2755 Beverly St, Duncan,V9L 6X2,(604) 683-7133,(604) 683-7737
X031028,2025-12-18,['trading'],Brokerage,McCowans Sporting Properties,McCowans Sporting Properties Inc.,Salmon Arm,"316 Partridge Road, Salmon Arm",316 Partridge Road, Salmon Arm,V1E 3A4,(250) 870-3021,(250) 483-1529
X036906,2025-11-18,"['trading', 'rental']",Brokerage,MCFoster Living Realty Inc.,MCFoster Living Realty Inc.,Vancouver,"1590-666 Burrard Street, Vancouver",1590-666 Burrard Street, Vancouver,V6C 2X8,(778) 379-5622,
REX603673,2025-10-09,"['trading', 'rental']",Brokerage,MDC Realty Advisors (BC) Inc.,MDC Realty Advisors (BC) Inc.,Vancouver,"340-1085 Homer St, Vancouver",340-1085 Homer St, Vancouver,V6B 1J4,(403) 668-7201,
X035501,2024-07-19,"['trading', 'rental']",Brokerage,Medallion International Realty,Medallion International Realty Ltd.,Surrey,"363-9850 King George Blvd, Surrey",363-9850 King George Blvd, Surrey,V3T 0P9,(844) 633-2548,
X038130,2024-12-29,['trading'],Branch Office,Medallion International Realty,Medallion International Realty Ltd.,Vancouver,"600-777 Hornby St, Vancouver",600-777 Hornby St, Vancouver,V6Z 1S4,(844) 633-2548,
085321,2024-02-01,"['trading', 'rental']",Sole Proprietor,Mehta & Associates Realty,Sanjay Priyavadan Mehta,Vancouver,"#102 - 1401 West Broadway, Vancouver",#102 - 1401 West Broadway, Vancouver,V6H 1H6,(604) 730-7865,(604) 730-7864
X023021,2025-04-22,"['rental', 'strata']",Brokerage,Meicor Property Management,Meicor Realty Management Services Inc.,Courtenay,"917-B Fitzgerald Avenue, Courtenay",917-B Fitzgerald Avenue, Courtenay,V9N 2R6,(250) 338-9979,(250) 338-0556
X035288,2024-01-20,"['trading', 'rental']",Brokerage,Menethil Properties Ltd.,Menethil Properties Ltd.,Kelowna,"233-1751 Harvey Avenue, Kelowna",233-1751 Harvey Avenue, Kelowna,V1Y 6G4,(778) 581-5777,
X037462,2024-06-20,"['trading', 'rental']",Branch Office,Menethil Properties Ltd.,Menethil Properties Ltd.,Vancouver,"250 - 997 Seymour Street, Vancouver",250 - 997 Seymour Street, Vancouver,V6B 3M1,(604) 834-5999,
X034145,2025-09-28,"['rental', 'strata']",Brokerage,Merritt Property Management Limited,Merritt Property Management Limited,Merritt,"100B 2840 Voght Street, Box 3021, Merritt",100B 2840 Voght Street, Box 3021,V1K 1B8,(250) 315-0000,(250) 378-6969
X032122,2025-12-30,"['rental', 'strata']",Brokerage,MetCap Living Management Inc.,MetCap Living Management Inc.,Burnaby,"9514 Erickson Drive, Burnaby",9514 Erickson Drive, Burnaby,V3J 1M9,(604) 423-9668,
X028506,2025-07-28,"['trading', 'rental']",Brokerage,Metro Core Realty Ltd.,Metro Core Realty Ltd.,Vancouver,"Suite 701, 1030 West Georgia Street, Vancouver",Suite 701, 1030 West Georgia Street,V6E 2Y3,(604) 664-7088,(604) 688-1686
X032112,2024-12-17,"['trading', 'rental']",Brokerage,Metro Edge Realty,Metro Edge Holdings Ltd.,Richmond,"200-6751 Westminster Highway, Richmond",200-6751 Westminster Highway, Richmond,V7C 4V4,(778) 650-0527,(778) 650-0528
X032383,2024-03-04,['trading'],Branch Office,Metro Edge Realty,Metro Edge Holdings Ltd.,Richmond,"200-6751 Westminster Highway, Richmond",200-6751 Westminster Highway, Richmond,V7C 4V4,(778) 888-3888,
X029475,2026-01-01,"['trading', 'rental', 'strata']",Brokerage,Metropolitan Property Management Inc.,Metropolitan Property Management Inc.,Surrey,"106 - 19232 Enterprise Way, Surrey",106 - 19232 Enterprise Way, Surrey,V3S 6J9,(778) 574-1880,(778) 574-1870
X033225,2024-11-01,"['trading', 'rental', 'strata']",Brokerage,Metrowest Building Services Limited,Metrowest Building Services Limited,Vancouver,"315-515 West Pender Street, Vancouver",315-515 West Pender Street, Vancouver,V6Z 1S4,(604) 681-2296,(604) 681-2297
X035584,2024-09-20,['trading'],Brokerage,MFC Realty Advisors Ltd.,MFC Realty Advisors Ltd.,North Vancouver,"1407 - 125 14th Street East, North Vancouver",1407 - 125 14th Street East, North Vancouver,V7L 0E6,(604) 817-5178,
X026220,2024-07-08,"['trading', 'rental']",Brokerage,Milestone Property Services Ltd.,Milestone Property Services Ltd.,Delta,"6810 Thunderbird Court, Delta",6810 Thunderbird Court, Delta,V4E 2S7,(604) 572-8120,
X035757,2024-12-31,"['trading', 'rental', 'strata']",Brokerage,Minerva Realty Corp.,Minerva Realty Corp.,West Vancouver,"200-100 Park Royal S, West Vancouver",200-100 Park Royal S, West Vancouver,V7T 1A2,(778) 387-7368,
X034164,2024-01-19,"['trading', 'rental', 'strata']",Brokerage,Mist Property Corp.,Mist Property Corp.,Kelowna,"11-3185 Via Centrale, Kelowna",11-3185 Via Centrale, Kelowna,V1V 2A7,(250) 491-0881,(250) 765-9520
REX603736,2025-07-25,"['trading', 'rental']",Brokerage,Mizar Marketing Ltd.,Mizar Marketing Ltd.,Burnaby,"302-4980 Kingsway, Burnaby",302-4980 Kingsway, Burnaby,V5H 4K7,(604) 423-4888,
X033380,2024-12-23,['trading'],Brokerage,MLA Canada Realty,"McNeill, Lalonde & Associates Inc.",Vancouver,"100 - 856 Homer Street, Vancouver",100 - 856 Homer Street, Vancouver,V6B 2W5,(604) 629-1515,(604) 629-1313
X034780,2024-11-20,['trading'],Brokerage,MLA Fraser Valley Realty,McNeill Lalonde and Associates (Fraser Valley) Inc.,Langley,"B210 - 20689 Willoughby Town Centre Dr., Langley",B210 - 20689 Willoughby Town Centre Dr., Langley,V2Y 0X7,(604) 629-1515,
X038047,2025-01-01,['trading'],Brokerage,MLA Okanagan Realty,"McNeill, Lalonde and Associates (Okanagan) Inc.",Vancouver,"100-856 Homer Street, Vancouver",100-856 Homer Street, Vancouver,V6B 2W5,(604) 629-1515,
X029363,2025-07-05,['trading'],Brokerage,MLA Realty,MLA Realty Inc.,Vancouver,"100 - 856 Homer Street, Vancouver",100 - 856 Homer Street, Vancouver,V6B 2W5,(604) 629-1515,(866) 226-5647
REX603436,2025-06-20,"['rental', 'strata']",Brokerage,MNT Realty Inc.,MNT Realty Inc.,Surrey,"121-14280 19A Ave, Surrey",121-14280 19A Ave, Surrey,V4A 8W4,(778) 881-5078,
X034542,2024-05-13,['trading'],Brokerage,Momentum Realty Inc.,Momentum Realty Inc.,Langley,"216 - 20353 64 Avenue, Langley",216 - 20353 64 Avenue, Langley,V2Y 1N5,(604) 227-6008,(604) 227-6011
X035810,2024-12-11,['trading'],Branch Office,Momentum Realty Inc.,Momentum Realty Inc.,Kelowna,"106 - 460 Doyle Avenue, Kelowna",106 - 460 Doyle Avenue, Kelowna,V1Y 0C2,(250) 801-3081,
X019519,2025-02-21,"['trading', 'rental']",Brokerage,Morguard,Morguard Investments Limited,Vancouver,"320 - 969 Robson Street, Vancouver",320 - 969 Robson Street, Vancouver,V6Z 2V7,(604) 681-9474,(604) 685-0161
X035796,2024-12-08,['rental'],Branch Office,Morguard,Morguard Investments Limited,Abbotsford,"201-32900 South Fraser Way, Abbotsford",201-32900 South Fraser Way, Abbotsford,V2S 5A1,(604) 853-7153,
X035797,2024-12-08,['rental'],Branch Office,Morguard,Morguard Investments Limited,Coquitlam,"2201-2929 Barnet Highway, Coquitlam",2201-2929 Barnet Highway, Coquitlam,V3B 5R5,(604) 468-5650,
X035798,2024-12-08,['rental'],Branch Office,Morguard,Morguard Investments Limited,Prince George,"156-3055 Massey Drive, Prince George",156-3055 Massey Drive, Prince George,V2N 2S9,(250) 563-3681,
X028489,2025-05-09,"['trading', 'rental']",Brokerage,Mosaic Avenue Realty Ltd.,Mosaic Avenue Realty Ltd.,Vancouver,"#500 - 2609 Granville Street, Vancouver",#500 - 2609 Granville Street, Vancouver,V6H 3H3,(604) 685-3888,(604) 685-3869
X027504,2025-12-20,"['trading', 'rental', 'strata']",Brokerage,Mountain Country Property Management Ltd.,Mountain Country Property Management Ltd.,Whistler,"201-1010 Alta Lake Road, Whistler",201-1010 Alta Lake Road, Whistler,V0N 1B2,(604) 932-0677,(604) 932-6628
X028533,2025-10-16,['strata'],Brokerage,Mountain Creek Properties Ltd.,Mountain Creek Properties Ltd.,Invermere,"642 7th Avenue, P.O. Box 21, Invermere",642 7th Avenue, P.O. Box 21,V0A 1K0,(250) 341-6003,(250) 341-6009
X030179,2026-01-01,"['rental', 'strata']",Brokerage,"Mountain Peaks Resort Realty, Ltd.","Mountain Peaks Resort Realty, Ltd.",Whistler,"4557 Blackcomb Way, Whistler",4557 Blackcomb Way, Whistler,V8E 0Y2,(604) 935-5703,(604) 935-1178
X030612,2024-09-06,"['trading', 'rental']",Brokerage,Mountain Town Properties Ltd.,Mountain Town Properties Ltd.,Rossland,"2020 Washington Street, Box 2277, Rossland",2020 Washington Street, Box 2277,V0G 1Y0,(250) 362-5556,
REX604154,2025-10-24,['trading'],Brokerage,MS RLTY The Brokerage Ltd.,MS RLTY The Brokerage Ltd.,Maple Ridge,"300-22420 Dewdney Trunk Rd, Maple Ridge",300-22420 Dewdney Trunk Rd, Maple Ridge,V2X 3J5,(778) 846-8484,
X027855,2025-04-08,"['trading', 'rental']",Brokerage,Mstar Realty Ltd.,Mstar Realty Ltd.,Langley,"A300-20161 86 Ave, Langley",A300-20161 86 Ave, Langley,V2Y 2C1,(604) 521-0038,(604) 521-0078
X032223,2024-01-07,"['trading', 'rental']",Brokerage,Multifamily Real Estate Services Corporation,Multifamily Real Estate Services Corporation,Vancouver,"801-938 Howe Street, Vancouver",801-938 Howe Street, Vancouver,V6Z 1N9,(778) 686-3330,(778) 650-0350
X011195,2025-02-23,"['trading', 'rental']",Brokerage,Multiple Realty Ltd.,Multiple Realty Ltd.,Vancouver,"768 Kingsway, Vancouver",768 Kingsway, Vancouver,V5V 3C1,(604) 434-1431,(604) 434-9433
X015783,2024-09-30,"['trading', 'rental']",Branch Office,Multiple Realty Ltd.,Multiple Realty Ltd.,Richmond,"200-6751 Westminster Hwy, Richmond",200-6751 Westminster Hwy, Richmond,V7C 4V4,(604) 273-8555,(604) 273-4882
X030777,2025-03-07,"['trading', 'rental']",Brokerage,My Dream Realty,DRM Realty Inc.,Vancouver,"1112-1030 West Georgia, Vancouver",1112-1030 West Georgia, Vancouver,V6E 2Y3,(778) 317-0752,(604) 608-5593
X030458,2024-04-19,"['trading', 'rental']",Brokerage,My Move Realty,My Move Realty BC Ltd.,Vancouver,"170-422 Richards Street, Vancouver",170-422 Richards Street, Vancouver,V6B 2Z4,(855) 881-8680,(866) 881-8680
X012794,2024-06-10,"['trading', 'rental']",Brokerage,Nacel Properties Ltd.,Nacel Properties Ltd.,Vancouver,"200-555 West 8th Avenue, Vancouver",200-555 West 8th Avenue, Vancouver,V5Z 1C6,(604) 685-7789,(604) 683-7690
X019857,2025-08-15,"['trading', 'rental']",Brokerage,NAI Commercial,NAI Commercial (BC) Ltd.,Vancouver,"1300-1075 West Georgia Street, Vancouver",1300-1075 West Georgia Street, Vancouver,V6E 3C9,(604) 683-7535,(604) 691-6688
X029508,2024-01-22,"['trading', 'rental', 'strata']",Brokerage,NAI Commercial (Langley) Ltd.,NAI Commercial (Langley) Ltd.,Langley,"5718 Glover Road, Langley",5718 Glover Road, Langley,V3A 4H8,(604) 534-7974,(604) 534-0764
X018506,2024-03-31,"['trading', 'rental', 'strata']",Brokerage,NAI Commercial (Victoria) Inc.,NAI Commercial (Victoria) Inc.,Victoria,"#200-569 Johnson Street, Victoria",#200-569 Johnson Street, Victoria,V8W 1M2,(250) 381-2265,(250) 381-7803
X023100,2025-04-06,"['trading', 'rental', 'strata']",Brokerage,NAI Commercial Central Vancouver Island Ltd.,NAI Commercial Central Vancouver Island Ltd.,Nanaimo,"2-1551 Estevan Road, Nanaimo",2-1551 Estevan Road, Nanaimo,V9S 3Y3,(250) 753-5757,(250) 753-4993
X033299,2024-11-28,"['trading', 'rental']",Brokerage,NAI Commercial Okanagan Ltd.,NAI Commercial Okanagan Ltd.,Kelowna,"200-1740 Gordon Avenue, Kelowna",200-1740 Gordon Avenue, Kelowna,V1Y 3H2,(250) 868-1879,(888) 877-4805
X034203,2025-10-09,['trading'],Branch Office,NAI Commercial Okanagan Ltd.,NAI Commercial Okanagan Ltd.,Kamloops,"904 Laurel Place, Kamloops",904 Laurel Place, Kamloops,V1S 1R3,(250) 371-1168,(888) 877-4805
X025146,2025-12-20,"['trading', 'rental', 'strata']",Brokerage,NAI Goddard & Smith,NAI Goddard & Smith Realty Services Inc.,Langley,"5718 Glover Road, Langley",5718 Glover Road, Langley,V3A 4H8,(604) 534-7974,(604) 534-3925
X037691,2024-05-24,['rental'],Brokerage,Narland Management Services Partnership,CR 3 Ventures Ltd. and SEAD Ventures Corp.,Vancouver,"206 - 1168 Hamilton Street, Vancouver",206 - 1168 Hamilton Street, Vancouver,V6B 2S2,(604) 681-2747,(604) 662-8988
REX602268,2025-02-28,"['trading', 'rental']",Branch Office,Nationwide Realty Corp.,Nationwide Realty Corp.,Surrey,"209-8120 128 St, Surrey",209-8120 128 St, Surrey,V3W 1R1,(604) 499-0030,
X034437,2024-02-20,"['trading', 'rental']",Brokerage,Nationwide Realty Corp.,Nationwide Realty Corp.,Vancouver,"130-709 Marine Dr SE, Vancouver",130-709 Marine Dr SE, Vancouver,V5X 2T8,(604) 499-0030,(877) 285-2001
X035255,2024-01-07,['trading'],Branch Office,Nationwide Realty Corp.,Nationwide Realty Corp.,,"203-32615 SOUTH FRASER WAY, ABBOTSFORD, BC V2T 1X8",203-32615 SOUTH FRASER WAY, ABBOTSFORD,V2T 1X8,(604) 499-0030,(877) 285-2001
X036485,2025-06-20,"['trading', 'rental']",Branch Office,Nationwide Realty Corp.,Nationwide Realty Corp.,Langley,"B320-20020 84 Ave, Langley",B320-20020 84 Ave, Langley,V2Y 5K9,(604) 499-0030,(877) 285-2001
X027976,2024-05-24,"['trading', 'rental']",Brokerage,Nest Property Management and Real Estate Services Ltd.,Nest Property Management and Real Estate Services Ltd.,Prince George,"1568-6th Avenue, Prince George",1568-6th Avenue, Prince George,V2L 5B5,(250) 614-4433,(250) 614-4436
X035495,2024-07-22,"['trading', 'rental']",Branch Office,Nest Property Management and Real Estate Services Ltd.,Nest Property Management and Real Estate Services Ltd.,Kitimat,"330-370 City Centre, Kitimat",330-370 City Centre, Kitimat,V8C 1T6,(250) 596-7368,
X028957,2025-11-30,"['trading', 'rental']",Brokerage,New Asia Realty Inc.,New Asia Realty Inc.,Vancouver,"Suite 3364, Four Bentall Centre, 1055 Dunsmuir Street, Vancouver",Suite 3364, Four Bentall Centre,V7X 1L2,(604) 687-2298,(604) 687-2227
X027574,2024-04-30,"['trading', 'rental']",Brokerage,New Century Real Estate Ltd.,New Century Real Estate Ltd.,Vancouver,"400 - 535 Howe Street, Vancouver",400 - 535 Howe Street, Vancouver,V6C 2Z4,(604) 683-6358,(604) 683-6354
X032318,2024-02-03,['strata'],Brokerage,New Point Property Management Ltd.,New Point Property Management Ltd.,Burnaby,"202-7818 6 Street, Burnaby",202-7818 6 Street, Burnaby,V3N 4N8,(604) 553-4595,(604) 553-2248
X032819,2024-06-28,"['trading', 'rental', 'strata']",Brokerage,New Power Realty Inc.,New Power Realty Inc.,,,,,,(604) 800-9788,(604) 678-3687
X034683,2024-09-10,['trading'],Brokerage,Newmark Canada,N.R.E. Newmark Real Estate Canada Limited,Vancouver,"595 Burrard St, Suite 3063, Vancouver",595 Burrard St, Suite 3063,V6C 1A0,(604) 256-2680,(604) 676-7206
X035171,2025-09-05,"['trading', 'rental', 'strata']",Brokerage,Newmax Realty Services Inc.,Newmax Realty Services Inc.,Surrey,"40 - 15968 82 Avenue, Surrey",40 - 15968 82 Avenue, Surrey,V4N 0S9,(604) 600-9341,
X027413,2025-08-16,['rental'],Brokerage,Newport Property Management Ltd.,Newport Property Management Ltd.,Victoria,"2045 Cadboro Bay Road, Victoria",2045 Cadboro Bay Road, Victoria,V8R 5G4,(250) 598-2220,(250) 598-6213
X015744,2024-06-29,"['trading', 'rental']",Brokerage,Newport Realty Ltd.,Newport Realty Ltd.,Victoria,"1144 Fort Street, Victoria",1144 Fort Street, Victoria,V8V 3K8,(250) 385-2033,(250) 385-3763
X031349,2024-09-29,"['trading', 'rental']",Branch Office,Newport Realty Ltd.,Newport Realty Ltd.,Sidney,"2444 Beacon Avenue, Sidney",2444 Beacon Avenue, Sidney,V8L 1X6,(250) 656-4626,(250) 656-7262
X024741,2025-04-30,"['trading', 'rental']",Brokerage,Newtco Harry Newton Realty,Newtco Holdings Ltd.,Victoria,"1-1016 Pemberton Road, Victoria",1-1016 Pemberton Road, Victoria,V8S 3R6,(250) 888-0103,
X020897,2025-11-17,"['trading', 'rental']",Brokerage,Nexus Realty Corp.,Nexus Realty Corp.,West Vancouver,"E-299 24th Street, West Vancouver",E-299 24th Street, West Vancouver,V7V 4G9,(604) 922-3353,(604) 922-6893
X030890,2025-08-30,"['trading', 'rental']",Brokerage,Nicola Crosby Real Estate Services Inc.,Nicola Crosby Real Estate Services Inc.,Vancouver,"420-1508 West Broadway, Vancouver",420-1508 West Broadway, Vancouver,V6J 1W8,(778) 383-6947,
X028216,2024-07-31,"['trading', 'rental', 'strata']",Brokerage,Noble & Associates Property Management,Noble & Associates Realty Ltd.,Richmond,"155-13988 Maycrest Way, Richmond",155-13988 Maycrest Way, Richmond,V6V 3C3,(604) 264-1001,(604) 264-1008
X028998,2025-04-20,"['trading', 'rental']",Brokerage,North Cariboo Realty Ltd.,North Cariboo Realty Ltd.,Quesnel,"441 Kinchant Street, Quesnel",441 Kinchant Street, Quesnel,V2J 2R7,(250) 992-2207,(250) 992-2240
X029765,2024-07-26,['trading'],Brokerage,Northeast BC Realty Ltd.,Northeast BC Realty Ltd.,Fort St. John,"10220  101 Avenue, Fort St. John",10220  101 Avenue, Fort St. John,V1J 2B5,(250) 785-4115,(250) 785-4120
087526,2024-05-22,"['trading', 'rental']",Sole Proprietor,Northern Homes Real Estate,Myrna Blake,Fort Nelson,"Box 2002, 5723 Gairdner Crescent, Fort Nelson",Box 2002, 5723 Gairdner Crescent,V0C 1R0,(250) 774-6637,
X029324,2025-07-08,"['trading', 'rental']",Brokerage,Northern Vision Realty Advisors Inc.,Northern Vision Realty Advisors Inc.,Langley,"200-20349 88th Avenue, Langley",200-20349 88th Avenue, Langley,V1M 2K5,(604) 374-1171,(604) 924-1699
X002221,2025-06-29,"['trading', 'rental']",Brokerage,Northwest Properties,Northwest Realty Inc.,Burnaby,"200 - 4634 Hastings Street, Burnaby",200 - 4634 Hastings Street, Burnaby,V5C 2K5,(604) 299-7517,(604) 299-5239
X028710,2024-08-27,['strata'],Brokerage,Nova Pacific Care Inc.,Nova Pacific Care Inc.,Vancouver,"216-1628 West 1st Avenue, Vancouver",216-1628 West 1st Avenue, Vancouver,V6J 1G1,(604) 689-5888,(604) 689-4082
X029804,2024-08-30,"['trading', 'rental', 'strata']",Brokerage,NSG Property Services,Cranbrook Agencies Holdings Inc.,Cranbrook,"16 13th Avenue South, Cranbrook",16 13th Avenue South, Cranbrook,V1C 2V3,(250) 426-3355,(250) 426-3683
X032196,2025-08-19,"['trading', 'rental']",Brokerage,Nu Stream Realty Inc.,Nu Stream Realty Inc.,Burnaby,"100-4555 Kingsway, Burnaby",100-4555 Kingsway, Burnaby,V5H 4T8,(604) 899-9999,(778) 379-0785
X034106,2024-02-04,"['trading', 'rental']",Branch Office,Nu Stream Realty Inc.,Nu Stream Realty Inc.,Richmond,"1550-4380 No. 3 Rd, Richmond",1550-4380 No. 3 Rd, Richmond,V6X 3V7,(604) 899-9999,(778) 379-0785
X030308,2025-12-19,['trading'],Brokerage,O'Keefe 3 Percent Realty Inc.,O'Keefe 3 Percent Realty Inc.,Vernon,"3609 32nd Street, Vernon",3609 32nd Street, Vernon,V1T 5N5,(250) 545-9039,(250) 545-9019
X017702,2025-11-05,"['trading', 'rental']",Brokerage,Oak West Realty Ltd.,Oak West Realty Ltd.,Vancouver,"2300 Birch Street, Vancouver",2300 Birch Street, Vancouver,V6H 2T2,(604) 731-1400,(604) 733-6700
X030426,2024-03-31,"['rental', 'strata']",Brokerage,Oakwood Property Management Ltd.,Oakwood Property Management Ltd.,Victoria,"326-1095 McKenzie Avenue, Victoria",326-1095 McKenzie Avenue, Victoria,V8P 2L5,(250) 704-4391,(250) 704-4440
X034124,2025-09-13,['trading'],Brokerage,Oakwyn Realty Downtown Ltd.,Oakwyn Realty Downtown Ltd.,Vancouver,"400-1286 Homer Street, Vancouver",400-1286 Homer Street, Vancouver,V6B 2Y5,(604) 662-8611,(604) 620-7970
REX602916,2025-05-02,"['trading', 'rental']",Branch Office,Oakwyn Realty Encore,1013826 B.C. Ltd.,Coquitlam,"6 - 228 Schoolhouse Street, Coquitlam",6 - 228 Schoolhouse Street, Coquitlam,BC V3K6V7,(604) 293-8888,
X031397,2025-02-23,"['trading', 'rental']",Brokerage,Oakwyn Realty Encore,1013826 B.C. Ltd.,Coquitlam,"6 - 228 Schoolhouse Street, Coquitlam",6 - 228 Schoolhouse Street, Coquitlam,V3K 6V7,(604) 293-8888,(604) 293-8887
REX603104,2025-05-29,['trading'],Branch Office,Oakwyn Realty Ltd.,Oakwyn Realty Ltd.,North Vancouver,"3171 Mountain Hwy, North Vancouver",3171 Mountain Hwy, North Vancouver,V7K 2H4,(778) 991-6284,
X030709,2025-01-23,"['trading', 'rental']",Brokerage,Oakwyn Realty Ltd.,Oakwyn Realty Ltd.,Vancouver,"3195 Oak Street, Vancouver",3195 Oak Street, Vancouver,V6H 2L2,(604) 620-6788,(604) 620-7970
X034161,2025-09-20,['trading'],Branch Office,Oakwyn Realty Ltd.,Oakwyn Realty Ltd.,North Vancouver,"101-3151 Woodbine Drive, North Vancouver",101-3151 Woodbine Drive, North Vancouver,V7R 2S4,(604) 630-7233,(604) 620-7970
X034627,2024-06-18,['trading'],Branch Office,Oakwyn Realty Ltd.,Oakwyn Realty Ltd.,Kelowna,"9-1310 Water Street, Kelowna",9-1310 Water Street, Kelowna,V1Y 9P3,(604) 428-8790,(604) 428-8791
X035489,2024-07-12,"['trading', 'rental']",Branch Office,Oakwyn Realty Ltd.,Oakwyn Realty Ltd.,Victoria,"612 Yates St, Victoria",612 Yates St, Victoria,V8W 1K9,(604) 620-6788,
X035647,2024-10-12,['trading'],Branch Office,Oakwyn Realty Ltd.,Oakwyn Realty Ltd.,Nanaimo,"376 Selby St, Nanaimo",376 Selby St, Nanaimo,V9R 2R5,(604) 620-6788,(604) 620-7970
X035878,2025-01-12,['trading'],Branch Office,Oakwyn Realty Ltd.,Oakwyn Realty Ltd.,Vancouver,"3195 Oak Street, Vancouver",3195 Oak Street, Vancouver,V6H 2L2,(604) 620-6788,(604) 620-7970
X036620,2025-07-21,['trading'],Branch Office,Oakwyn Realty Ltd.,Oakwyn Realty Ltd.,Kelowna,"473 Bernard Ave, Kelowna",473 Bernard Ave, Kelowna,V1Y 6N8,(604) 620-6788,
X037502,2024-04-06,"['trading', 'rental']",Branch Office,Oakwyn Realty Ltd.,Oakwyn Realty Ltd.,Vancouver,"400 - 1286 Homer Street, Vancouver",400 - 1286 Homer Street, Vancouver,V6B 2Y5,(604) 662-8611,(604) 620-7970
X037969,2024-08-14,['trading'],Branch Office,Oakwyn Realty Ltd.,Oakwyn Realty Ltd.,Cumberland,"1 - 2708 Dunsmuir Street, PO Box 1046, Cumberland",1 - 2708 Dunsmuir Street, PO Box 1046,V0R 1S0,(250) 937-9856,
X037418,2024-04-12,['trading'],Brokerage,Oakwyn Realty Northwest,1210609 BC Ltd.,Burnaby,"4481 Hastings Street, Burnaby",4481 Hastings Street, Burnaby,V5C 0L6,(778) 783-2683,
X002244,2025-06-29,"['trading', 'rental']",Brokerage,Oballa Realty Ltd.,Oballa Realty Ltd.,Coquitlam,"505-2950 Glen Drive, Coquitlam",505-2950 Glen Drive, Coquitlam,V3B 0J1,(604) 420-2244,(604) 420-1133
X031277,2024-08-28,['trading'],Brokerage,Oberfeld Snowcap Realty,Oberfeld Snowcap British Columbia Inc.,Vancouver,"701 West Georgia Street, Suite 1500, Vancouver",701 West Georgia Street, Suite 1500,V7Y 1C6,(604) 757-9476,(604) 629-2658
X030693,2024-11-29,"['rental', 'strata']",Brokerage,Obsidian Property Management Ltd.,Obsidian Property Management Ltd.,Surrey,"306-7327 137th Street, Surrey",306-7327 137th Street, Surrey,V3W 1A4,(604) 757-3151,(604) 503-3457
X002249,2025-06-29,"['trading', 'rental']",Brokerage,Oceanridge Realty Ltd.,Oceanridge Realty Ltd.,Richmond,"150 - 8833 Odlin Crescent, Richmond",150 - 8833 Odlin Crescent, Richmond,V6X 3Z7,(604) 688-1337,(604) 688-1338
X033790,2025-05-31,"['trading', 'rental', 'strata']",Brokerage,Ohmproperty,Ohm Realty Corp.,Vancouver,"4330 Slocan Street, Vancouver",4330 Slocan Street, Vancouver,V5R 1Z5,(604) 563-1467,
X035302,2024-01-24,"['trading', 'rental', 'strata']",Brokerage,Okanagan Commercial Realty Corp.,Okanagan Commercial Realty Corp.,Kelowna,"106 - 546 Leon Avenue, Kelowna",106 - 546 Leon Avenue, Kelowna,V1Y 6J6,(250) 859-3734,
